Symbol, Mass_Number, Val, Version
Si, 32, -Infinity, 0
Sm, 145, -Infinity, 0
Sm, 147, -Infinity, 0
Sm, 151, -Infinity, 0
Sm, 153, 0.35619074, 0
Sn, 113, 0.00602213, 0
Sn, 117m, -Infinity, 0
Sn, 119m, 0.002364883, 0
Sn, 121m, -Infinity, 0
Sn, 123, -Infinity, 0
Sn, 125, -Infinity, 0
Sn, 126, -Infinity, 0
Sr, 82, 0.027725887, 0
Sr, 85, -Infinity, 0
Sr, 85m, -Infinity, 0
Sr, 87m, -Infinity, 0
Sr, 89, 0.01371211, 0
Sr, 90, 6.63543e-05, 0
Sr, 91, -Infinity, 0
Sr, 92, -Infinity, 0
T, nat, 0.000154539, 0
Ta, 178, -Infinity, 0
Ta, 179, -Infinity, 0
Ta, 182, 0.00605739, 0
Tb, 157, -Infinity, 0
Tb, 158, -Infinity, 0
Tb, 160, -Infinity, 0
Tc, 95m, 0.011363069, 0
Tc, 96, -Infinity, 0
Tc, 96m, -Infinity, 0
Tc, 97, -Infinity, 0
Tc, 97m, -Infinity, 0
Tc, 98, -Infinity, 0
Tc, 99, 8.90955e-09, 0
Tc, 99m, 2.761542552, 0
Te, 121, -Infinity, 0
Te, 121m, -Infinity, 0
Te, 123m, -Infinity, 0
Te, 125m, -Infinity, 0
Te, 127, -Infinity, 0
Te, 127m, -Infinity, 0
Te, 129, -Infinity, 0
Te, 129m, -Infinity, 0
Te, 131m, -Infinity, 0
Te, 132, -Infinity, 0
Th, nat, -Infinity, 0
Th, 227, -Infinity, 0
Th, 228, 0.000993578, 0
Th, 229, -Infinity, 0
Th, 230, 2.51756e-08, 0
Th, 231, -Infinity, 0
Th, 232, 1.3507e-13, 0
Th, 234, -Infinity, 0
Ti, 44, -Infinity, 0
Tl, 200, -Infinity, 0
Tl, 201, 0.227709323, 0
Tl, 202, -Infinity, 0
Tl, 204, 0.000502046, 0
Tm, 167, -Infinity, 0
Tm, 170, -Infinity, 0
Tm, 171, -Infinity, 0
U, nat, -Infinity, 0
U, 230, -Infinity, 0
U, 232, -Infinity, 0
U, 233, -Infinity, 0
U, 234, 7.73008e-09, 0
U, 235, -Infinity, 0
U, 236, -Infinity, 0
U, 238, 4.24549e-13, 0
