Abbr,Ci,TBq,Version
Lu-172,10,0.37,0
Lu-173,100,3.7,0
Lu-174,10,0.37,0
Lu-174m,10,0.37,0
Lu-176,1,0.037,0
Lu-176m,1000,37,0
Lu-177,100,3.7,0
Lu-177m,10,0.37,0
Lu-178,1000,37,0
Lu-178m,1000,37,0
Lu-179,1000,37,0
Md-257,100,3.7,0
Md-258,1,0.037,0
Mg-28,10,0.37,0
Mn-51,1000,37,0
Mn-52,10,0.37,0
Mn-52m,1000,37,0
Mn-53,1000,37,0
Mn-54,10,0.37,0
Mn-56,100,3.7,0
Mo-101,1000,37,0
Mo-90,100,3.7,0
Mo-93,100,3.7,0
Mo-93m,10,0.37,0
Mo-99,100,3.7,0
N-13,1,0.037,0
Na-22,10,0.37,0
Na-24,10,0.37,0
Nb-88,100,3.7,0
Nb-89(long),100,3.7,0
Nb-89(short),100,3.7,0
Nb-90,10,0.37,0
Nb-93m,100,3.7,0
Nb-94,10,0.37,0
Nb-95,10,0.37,0
Nb-95m,100,3.7,0
Nb-96,10,0.37,0
Nb-97,100,3.7,0
Nb-98,1000,37,0
Nd-136,1000,37,0
Nd-138,1000,37,0
Nd-139,1000,37,0
Nd-139m,100,3.7,0
Nd-141,1000,37,0
Nd-147,10,0.37,0
Nd-149,100,3.7,0
Nd-151,1000,37,0
Ni-56,10,0.37,0
Ni-57,10,0.37,0
Ni-59,100,3.7,0
Ni-63,100,3.7,0
Ni-65,100,3.7,0
Ni-66,10,0.37,0
Np-232,1000,37,0
Np-233,1000,37,0
Np-234,10,0.37,0
Np-235,1000,37,0
Np-236(long),0.1,0.0037,0
Np-236(short),100,3.7,0
Np-237,0.01,0.00037,0
Np-238,0.01,0.00037,0
Np-239,100,3.7,0
Np-240,100,3.7,0
Os-180,1000,37,0
Os-181,100,3.7,0
Os-182,100,3.7,0
Os-185,10,0.37,0
Os-189m,1000,37,0
Os-191,100,3.7,0
Os-191m,1000,37,0
Os-193,100,3.7,0
Os-194,1,0.037,0
P-32,0.1,0.0037,0
P-33,1,0.037,0
Pa-227,100,3.7,0
Pa-228,10,0.37,0
Pa-230,10,0.37,0
Pa-231,0.01,0.00037,0
Pa-232,10,0.37,0
Pa-233,100,3.7,0
Pa-234,10,0.37,0
Pb-195m,1000,37,0
Pb-198,100,3.7,0
Pb-199,100,3.7,0
Pb-200,100,3.7,0
Pb-201,100,3.7,0
Pb-202,1,0.037,0
Pb-202m,10,0.37,0
Pb-203,100,3.7,0
Pb-205,100,3.7,0
Pb-209,1000,37,0
Pb-210,0.01,0.00037,0
Pb-211,100,3.7,0
Pb-212,10,0.37,0
Pb-214,100,3.7,0
Pd-100,100,3.7,0
Pd-101,100,3.7,0
Pd-103,100,3.7,0
Pd-107,100,3.7,0
Pd-109,1000,37,0
Pm-141,1000,37,0
Pm-143,100,3.7,0
Pm-144,10,0.37,0
Pm-145,100,3.7,0
Pm-146,10,0.37,0
Pm-147,10,0.37,0
Pm-148,10,0.37,0
Pm-148m,10,0.37,0
Pm-149,100,3.7,0
Pm-150,100,3.7,0
Pm-151,100,3.7,0
Po-203,100,3.7,0
Po-205,100,3.7,0
Po-207,10,0.37,0
Po-210,0.01,0.00037,0
Pr-136,1000,37,0
Pr-137,1000,37,0
Pr-138m,100,3.7,0
Pr-139,1000,37,0
Pr-142,100,3.7,0
Pr-142m,1000,37,0
Pr-143,10,0.37,0
Pr-144,1000,37,0
Pr-145,1000,37,0
Pr-147,1000,37,0
Pt-186,100,3.7,0
Pt-188,100,3.7,0
Pt-189,100,3.7,0
Pt-191,100,3.7,0
Pt-193,1000,37,0
Pt-193m,100,3.7,0
Pt-195m,100,3.7,0
Pt-197,1000,37,0
Pt-197m,1000,37,0
Pt-199,1000,37,0
Pt-200,100,3.7,0
Pu-234,1000,37,0
Pu-235,1000,37,0
Pu-236,0.1,0.0037,0
Pu-237,1000,37,0
Pu-238,0.01,0.00037,0
Pu-239,0.01,0.00037,0
Pu-240,0.01,0.00037,0
Pu-241,1,0.037,0
Pu-242,0.01,0.00037,0
Pu-243,1000,37,0
Pu-244,0.01,0.00037,0
Pu-245,100,3.7,0
Ra-223,1,0.037,0
Ra-224,10,0.37,0
Ra-225,1,0.037,0
Ra-226,0.1,0.0037,0
Ra-227,1000,37,0
Ra-228,0.1,0.0037,0
Rb,1,0.037,0
Rb-79,1000,37,0
Rb-81,100,3.7,0
Rb-81m,1000,37,0
Rb-82m,10,0.37,0
Rb-83,10,0.37,0
Rb-84,10,0.37,0
Rb-86,10,0.37,0
Rb-87,10,0.37,0
Rb-88,1000,37,0
Rb-89,1000,37,0
Re,1,0.037,0
Re-177,1000,37,0
Re-178,1000,37,0
Re-181,100,3.7,0
Re-182(long),10,0.37,0
Re-182(short),10,0.37,0
Re-184,10,0.37,0
Re-184m,10,0.37,0
Re-186,100,3.7,0
Re-186m,10,0.37,0
Re-187,1000,37,0
Re-188,1000,37,0
Re-188m,1000,37,0
Re-189,1000,37,0
Rh-100,10,0.37,0
Rh-101,10,0.37,0
Rh-101m,100,3.7,0
Rh-102,10,0.37,0
Rh-102m,10,0.37,0
Rh-103m,1000,37,0
Rh-105,100,3.7,0
Rh-106m,10,0.37,0
Rh-107,1000,37,0
Rh-99,10,0.37,0
Rh-99m,100,3.7,0
Rn-220,0.1,0.0037,0
Rn-222,0.1,0.0037,0
Ru-103,10,0.37,0
Ru-105,100,3.7,0
Ru-106,1,0.037,0
Ru-94,1000,37,0
Ru-97,100,3.7,0
S-35,1,0.037,0
Sb-115,1000,37,0
Sb-116,1000,37,0
Sb-116m,100,3.7,0
Sb-117,1000,37,0
Sb-118m,10,0.37,0
Sb-119,1000,37,0
Sb-120(long),10,0.37,0
Sb-120(short),1000,37,0
Sb-122,10,0.37,0
Sb-124,10,0.37,0
Sb-124m,1000,37,0
Sb-125,10,0.37,0
Sb-126,10,0.37,0
Sb-126m,1000,37,0
Sb-127,10,0.37,0
Sb-128(long),10,0.37,0
Sb-128(short),1000,37,0
Sb-129,100,3.7,0
Sb-130,100,3.7,0
Sb-131,1000,37,0
Sc-43,1000,37,0
Sc-44,100,3.7,0
Sc-44m,10,0.37,0
Sc-46,10,0.37,0
Sc-47,100,3.7,0
Sc-48,10,0.37,0
Sc-49,1000,37,0
Se-70,1000,37,0
Se-73,10,0.37,0
Se-73m,100,3.7,0
Se-75,10,0.37,0
Se-79,10,0.37,0
Se-81,1000,37,0
Se-81m,1000,37,0
Se-83,1000,37,0
Si-31,1000,37,0
Si-32,1,0.037,0
Sm-141,1000,37,0
Sm-141m,1000,37,0
Sm-142,1000,37,0
Sm-145,100,3.7,0
Sm-146,0.01,0.00037,0
Sm-147,0.01,0.00037,0
Sm-151,10,0.37,0
Sm-153,100,3.7,0
Sm-155,1000,37,0
Sm-156,100,3.7,0
Sn-110,100,3.7,0
Sn-111,1000,37,0
Sn-113,10,0.37,0
Sn-117m,100,3.7,0
Sn-119m,10,0.37,0
Sn-121,1000,37,0
Sn-121m,10,0.37,0
Sn-123,10,0.37,0
Sn-123m,1000,37,0
Sn-125,10,0.37,0
Sn-126,1,0.037,0
Sn-127,100,3.7,0
Sn-128,1000,37,0
Sr-80,100,3.7,0
Sr-81,1000,37,0
Sr-82,1,0.037,0
Sr-83,100,3.7,0
Sr-85,10,0.37,0
Sr-85m,1000,37,0
Sr-87m,100,3.7,0
Sr-89,10,0.37,0
Sr-90,0.1,0.0037,0
Sr-91,10,0.37,0
Sr-92,100,3.7,0
T,100,3.7,0
Ta-172,100,3.7,0
Ta-173,100,3.7,0
Ta-174,100,3.7,0
Ta-175,100,3.7,0
Ta-176,10,0.37,0
Ta-177,1000,37,0
Ta-178,1000,37,0
Ta-179,1000,37,0
Ta-180,100,3.7,0
Ta-180m,1000,37,0
Ta-182,10,0.37,0
Ta-182m,1000,37,0
Ta-183,100,3.7,0
Ta-184,10,0.37,0
Ta-185,1000,37,0
Ta-186,1000,37,0
Tb-147,100,3.7,0
Tb-149,100,3.7,0
Tb-150,100,3.7,0
Tb-151,10,0.37,0
Tb-153,100,3.7,0
Tb-154,10,0.37,0
Tb-155,100,3.7,0
Tb-156,10,0.37,0
Tb-156m(long),1000,37,0
Tb-156m(short),1000,37,0
Tb-157,100,3.7,0
Tb-158,10,0.37,0
Tb-160,10,0.37,0
Tb-161,100,3.7,0
Tc-101,1000,37,0
Tc-104,1000,37,0
Tc-93,100,3.7,0
Tc-93m,1000,37,0
Tc-94,10,0.37,0
Tc-94m,100,3.7,0
Tc-95m,1,0.037,0
Tc-96,10,0.37,0
Tc-96m,1000,37,0
Tc-97,100,3.7,0
Tc-97m,100,3.7,0
Tc-98,10,0.37,0
Tc-99,10,0.37,0
Tc-99m,100,3.7,0
Te-116,1000,37,0
Te-121,10,0.37,0
Te-121m,10,0.37,0
Te-123,10,0.37,0
Te-123m,10,0.37,0
Te-125m,10,0.37,0
Te-127,1000,37,0
Te-127m,10,0.37,0
Te-129,1000,37,0
Te-129m,10,0.37,0
Te-131,1000,37,0
Te-131m,10,0.37,0
Te-132,10,0.37,0
Te-133,1000,37,0
Te-133m,1000,37,0
Te-134,1000,37,0
Th,0,0,0
Th-226,100,3.7,0
Th-227,1,0.037,0
Th-228,0.01,0.00037,0
Th-229,0.001,0.000037,0
Th-230,0.01,0.00037,0
Th-231,100,3.7,0
Th-232,0.001,0.000037,0
Th-234,100,3.7,0
Th(irradiated),-1234321,-1234321,0
Th(natural),-1234321,-1234321,0
Ti-44,1,0.037,0
Ti-45,1000,37,0
Tl-194,1000,37,0
Tl-194m,100,3.7,0
Tl-195,100,3.7,0
Tl-197,100,3.7,0
Tl-198,10,0.37,0
Tl-198m,100,3.7,0
Tl-199,100,3.7,0
Tl-200,10,0.37,0
Tl-201,1000,37,0
Tl-202,10,0.37,0
Tl-204,10,0.37,0
Tm-162,1000,37,0
Tm-166,10,0.37,0
Tm-167,100,3.7,0
Tm-170,10,0.37,0
Tm-171,100,3.7,0
Tm-172,100,3.7,0
Tm-173,100,3.7,0
Tm-175,1000,37,0
U,0.1,0.0037,0
U-230f,1,0.037,0
U-230m,1,0.037,0
U-230s,1,0.037,0
U-231,1000,37,0
U-232f,0.01,0.00037,0
U-232m,1,0.037,0
U-232s,1,0.037,0
U-233f,0.1,0.0037,0
U-233m,1,0.037,0
U-233s,1,0.037,0
U-234f,0.1,0.0037,0
U-234m,1,0.037,0
U-234s,1,0.037,0
U-235,0.1,0.0037,0
U-235f,0.1,0.0037,0
U-235m,0.1,0.0037,0
U-235s,0.1,0.0037,0
U-236f,0.1,0.0037,0
U-236m,1,0.037,0
U-236s,1,0.037,0
U-237,100,3.7,0
U-238,0.1,0.0037,0
U-238f,0.1,0.0037,0
U-238m,0.1,0.0037,0
U-238s,0.1,0.0037,0
U-239,1000,37,0
U-240,1000,37,0
V-47,1000,37,0
V-48,10,0.37,0
V-49,1000,37,0
W-176,1000,37,0
W-177,100,3.7,0
W-178,100,3.7,0
W-179,1000,37,0
W-181,100,3.7,0
W-185,10,0.37,0
W-187,100,3.7,0
W-188,10,0.37,0
Xe-120,100,3.7,0
Xe-121,10,0.37,0
Xe-122,100,3.7,0
Xe-123,10,0.37,0
Xe-125,100,3.7,0
Xe-127,100,3.7,0
Xe-129m,1000,37,0
Xe-131m,1000,37,0
Xe-133,1000,37,0
Xe-133m,1000,37,0
Xe-135,100,3.7,0
Xe-135m,10,0.37,0
Xe-138,10,0.37,0
Y-86,10,0.37,0
Y-86m,1000,37,0
Y-87,10,0.37,0
Y-88,10,0.37,0
Y-90,10,0.37,0
Y-90m,100,3.7,0
Y-91,10,0.37,0
Y-91m,1000,37,0
Y-92,100,3.7,0
Y-93,100,3.7,0
Y-94,1000,37,0
Y-95,1000,37,0
Yb-162,1000,37,0
Yb-166,10,0.37,0
Yb-167,1000,37,0
Yb-169,10,0.37,0
Yb-175,100,3.7,0
Yb-177,1000,37,0
Yb-178,1000,37,0
Zn-62,100,3.7,0
Zn-63,1000,37,0
Zn-65,10,0.37,0
Zn-69,1000,37,0
Zn-69m,100,3.7,0
Zn-71m,100,3.7,0
Zn-72,100,3.7,0
Zr-86,100,3.7,0
Zr-88,10,0.37,0
Zr-89,100,3.7,0
Zr-93,1,0.037,0
Zr-95,10,0.37,0
Zr-97,10,0.37,0
