Symbol, Mass_Number, Val, Version
Sc, 48, 3.00e-01, 0
Se, 75, 3.00e+00, 0
Se, 79, 4.00e+01, 0
Si, 31, 6.00e-01, 0
Si, 32, 4.00e+01, 0
Sm, 145, 1.00e+01, 0
Sm, 147, Infinity, 0
Sm, 151, 4.00e+01, 0
Sm, 153, 9.00e+00, 0
Sn, 113, 4.00e+00, 0
Sn, 117m, 7.00e+00, 0
Sn, 119m, 4.00e+01, 0
Sn, 121m, 4.00e+01, 0
Sn, 123, 8.00e-01, 0
Sn, 125, 4.00e-01, 0
Sn, 126, 6.00e-01, 0
Sr, 82, 2.00e-01, 0
Sr, 85, 2.00e+00, 0
Sr, 85m, 5.00e+00, 0
Sr, 87m, 3.00e+00, 0
Sr, 89, 6.00e-01, 0
Sr, 90, 3.00e-01, 0
Sr, 91, 3.00e-01, 0
Sr, 92, 1.00e+00, 0
T, H-3, 4.00e+01, 0
Ta, 178, 1.00e+00, 0
Ta, 179, 3.00e+01, 0
Ta, 182, 9.00e-01, 0
Tb, 157, 4.00e+01, 0
Tb, 158, 1.00e+00, 0
Tb, 160, 1.00e+00, 0
Tc, 95m, 2.00e+00, 0
Tc, 96, 4.00e-01, 0
Tc, 96m, 4.00e-01, 0
Tc, 97, Infinity, 0
Tc, 97m, 4.00e+01, 0
Tc, 98, 8.00e-01, 0
Tc, 99, 4.00e+01, 0
Tc, 99m, 1.00e+01, 0
Te, 121, 2.00e+00, 0
Te, 121m, 5.00e+00, 0
Te, 123m, 8.00e+00, 0
Te, 125m, 2.00e+01, 0
Te, 127, 2.00e+01, 0
Te, 127m, 2.00e+01, 0
Te, 129, 7.00e-01, 0
Te, 129m, 8.00e-01, 0
Te, 131m, 7.00e-01, 0
Te, 132, 5.00e-01, 0
Th, nat, Infinity, 0
Th, 227, 1.00e+01, 0
Th, 228, 5.00e-01, 0
Th, 229, 5.00e+00, 0
Th, 230, 1.00e+01, 0
Th, 231, 4.00e+01, 0
Th, 232, Infinity, 0
Th, 234, 3.00e-01, 0
Ti, 44, 5.00e-01, 0
Tl, 200, 9.00e-01, 0
Tl, 201, 1.00e+01, 0
Tl, 202, 2.00e+00, 0
Tl, 204, 1.00e+01, 0
Tm, 167, 7.00e+00, 0
Tm, 170, 3.00e+00, 0
Tm, 171, 4.00e+01, 0
U, nat, Infinity, 0
U, enriched, Infinity, 0
U, dep, Infinity, 0
U, 230fast, 4.00e+01, 0
U, 230medium, 4.00e+01, 0
U, 230slow, 3.00e+01, 0
U, 232fast, 4.00e+01, 0
U, 232medium, 4.00e+01, 0
U, 232slow, 1.00e+01, 0
U, 233fast, 4.00e+01, 0
U, 233medium, 4.00e+01, 0
U, 233slow, 4.00e+01, 0
U, 234fast, 4.00e+01, 0
U, 234medium, 4.00e+01, 0
U, 234slow, 4.00e+01, 0
U, 235fast, Infinity, 0
U, 235medium, Infinity, 0
U, 235slow, Infinity, 0
U, 236fast, Infinity, 0
U, 236medium, 4.00e+01, 0
U, 236slow, 4.00e+01, 0
U, 238fast, Infinity, 0
U, 238medium, Infinity, 0
U, 238slow, Infinity, 0
V, 48, 4.00e-01, 0
V, 49, 4.00e+01, 0
W, 178, 9.00e+00, 0
W, 181, 3.00e+01, 0
W, 185, 4.00e+01, 0
W, 187, 2.00e+00, 0
W, 188, 4.00e-01, 0
Xe, 122, 4.00e-01, 0
Xe, 123, 2.00e+00, 0
Xe, 127, 4.00e+00, 0
Xe, 131m, 4.00e+01, 0
Xe, 133, 2.00e+01, 0
Xe, 135, 3.00e+00, 0
Y, 87, 1.00e+00, 0
Y, 88, 4.00e-01, 0
Y, 90, 3.00e-01, 0
Y, 91, 6.00e-01, 0
Y, 91m, 2.00e+00, 0
Y, 92, 2.00e-01, 0
Y, 93, 3.00e-01, 0
Yb, 169, 4.00e+00, 0
Yb, 175, 3.00e+01, 0
Zn, 65, 2.00e+00, 0
Zn, 69, 3.00e+00, 0
Zn, 69m, 3.00e+00, 0
Zr, 88, 3.00e+00, 0
Zr, 93, Infinity, 0
Zr, 95, 2.00e+00, 0
Zr, 97, 4.00e-01, 0
